Order Date,Sales,Quantity,Discount,Profit,Year,Month
2014-01-06 0:00,2573.82,9,0,746.4078,2014,1
2014-01-07 0:00,76.728,3,0.6,-53.7096,2014,1
2014-01-10 0:00,51.94,1,0,21.2954,2014,1
2014-01-11 0:00,9.94,2,0,3.0814,2014,1
2014-01-13 0:00,545.94,6,0,87.3504,2014,1
2014-01-13 0:00,333.999,3,0.15,3.9294,2014,1
2014-01-14 0:00,61.96,4,0.5,-53.2856,2014,1
2014-01-16 0:00,127.104,6,0.2,28.5984,2014,1
2014-01-19 0:00,181.47,5,0.7,-320.597,2014,1
2014-01-20 0:00,272.94,3,0,30.0234,2014,1
2014-01-20 0:00,14.73,3,0,4.8609,2014,1
2014-01-20 0:00,38.6,4,0,11.58,2014,1
2014-01-20 0:00,19.3,2,0,5.79,2014,1
2014-01-20 0:00,1067.94,3,0,224.2674,2014,1
2014-01-21 0:00,25.248,3,0.2,4.1028,2014,1
2014-01-26 0:00,141.96,2,0,39.7488,2014,1
2014-01-26 0:00,12.42,3,0,4.4712,2014,1
2014-01-26 0:00,62.82,3,0,30.7818,2014,1
2014-01-27 0:00,333,3,0.2,-16.65,2014,1
2014-01-31 0:00,290.666,2,0.15,3.4196,2014,1
2014-02-08 0:00,14.56,2,0,5.5328,2014,2
2014-02-11 0:00,60.89,1,0,15.2225,2014,2
2014-02-11 0:00,1256.22,6,0,75.3732,2014,2
2014-02-11 0:00,332.94,3,0,53.2704,2014,2
2014-02-12 0:00,129.568,2,0.2,-24.294,2014,2
2014-02-18 0:00,25.16,5,0.6,-11.322,2014,2
2014-02-20 0:00,20.32,4,0,6.9088,2014,2
2014-03-01 0:00,376.509,3,0.3,-43.0296,2014,3
2014-03-01 0:00,457.568,2,0.2,51.4764,2014,3
2014-03-01 0:00,634.116,6,0.3,-172.1172,2014,3
2014-03-01 0:00,362.25,6,0.3,0,2014,3
2014-03-01 0:00,63.552,6,0.6,-34.9536,2014,3
2014-03-03 0:00,626.352,3,0.2,-23.4882,2014,3
2014-03-03 0:00,302.45,5,0.5,-199.617,2014,3
2014-03-07 0:00,436.704,6,0.2,21.8352,2014,3
2014-03-07 0:00,48.712,1,0.2,5.4801,2014,3
2014-03-07 0:00,481.568,2,0.2,54.1764,2014,3
2014-03-11 0:00,8.32,5,0.2,2.288,2014,3
2014-03-14 0:00,1139.92,4,0,284.98,2014,3
2014-03-15 0:00,45.696,3,0.2,5.1408,2014,3
2014-03-17 0:00,1071.576,4,0.4,-553.6476,2014,3
2014-03-17 0:00,613.908,3,0.4,-122.7816,2014,3
2014-03-17 0:00,1579.746,7,0.4,-447.5947,2014,3
2014-03-18 0:00,1198.33,10,0.15,70.49,2014,3
2014-03-18 0:00,111,2,0,14.43,2014,3
2014-03-18 0:00,30.768,2,0.2,8.0766,2014,3
2014-03-18 0:00,122.352,3,0.2,15.294,2014,3
2014-03-19 0:00,20.016,3,0.2,5.5044,2014,3
2014-03-19 0:00,4.992,3,0.2,1.3728,2014,3
2014-03-21 0:00,218.376,3,0.2,-10.9188,2014,3
2014-03-21 0:00,32.952,3,0.2,6.5904,2014,3
2014-03-22 0:00,314.352,3,0.2,-35.3646,2014,3
2014-03-24 0:00,40.48,2,0,14.5728,2014,3
2014-03-25 0:00,366.786,7,0.1,65.2064,2014,3
2014-03-28 0:00,330.588,1,0.4,-143.2548,2014,3
2014-03-28 0:00,1184.72,4,0,106.6248,2014,3
2014-03-29 0:00,890.841,3,0.3,-152.7156,2014,3
2014-03-30 0:00,205.666,2,0.15,-12.098,2014,3
2014-03-30 0:00,127.302,7,0.3,-9.093,2014,3
2014-03-31 0:00,1125.488,7,0.2,98.4802,2014,3
2014-04-02 0:00,177.68,2,0,46.1968,2014,4
2014-04-04 0:00,5.47,1,0,2.3521,2014,4
2014-04-06 0:00,91.96,2,0,15.6332,2014,4
2014-04-06 0:00,653.55,3,0,111.1035,2014,4
2014-04-06 0:00,154.764,3,0.4,-36.1116,2014,4
2014-04-06 0:00,33.11,7,0,12.9129,2014,4
2014-04-07 0:00,8.96,2,0,2.7776,2014,4
2014-04-08 0:00,99.592,1,0.2,2.4898,2014,4
2014-04-08 0:00,1215.92,8,0,316.1392,2014,4
2014-04-08 0:00,172.11,1,0.4,-94.6605,2014,4
2014-04-12 0:00,308.499,3,0.15,-18.147,2014,4
2014-04-15 0:00,187.76,4,0,76.9816,2014,4
2014-04-18 0:00,317.058,3,0.3,-18.1176,2014,4
2014-04-19 0:00,76.14,3,0,26.649,2014,4
2014-04-20 0:00,744.1,5,0.3,-95.67,2014,4
2014-04-20 0:00,401.59,2,0.3,-131.951,2014,4
2014-04-20 0:00,59.92,4,0,27.5632,2014,4
2014-04-23 0:00,281.372,2,0.3,-12.0588,2014,4
2014-04-23 0:00,281.372,2,0.3,-12.0588,2014,4
